"Image","Logo","Occupation","Name","Race","Focus","Origin","God","Age","Status","Title","Position","Description"
"Ogmurok-Rogantor","Fakulty/Fakulta_1","Absorber","Ogmurok Rogantor - Umelec","Human","Ranger","Divočina","Vydra","54","Živý","Jäger","Vrchný Absorber","Ogmurok vždy lovil. Jeho klan sa nikdy nepresunul do mesta a ostali nechránený v lesoch. Vďaka ich loveckým skúsenostiam im to však nerobilo veľký problém. Ogmurok teda nemal trénin z akédemie ale od klanu. S lovcami z akadémie sa stretol v lesoch keď mali spoločnú korisť. Lovci si naskôr mysleli, že Ogmurok je prízrak lebo jeho pohyby pôsobili magicky až ako keby to bolo pre neho vystúpenie a nie lov. Ogmurok sa vrátil do mesta s lovcami a začal svoju cestu akademiou kde sa niečo naučil ale aj pridal vlastné poznatky a skúsenosti."
"Bolyvar-Grats","Fakulty/Fakulta_2","Popravca","Bolyvar Grats – Sekerník","Human","Barbarrian","Jazierchat","Kybad","38","Živý","Jäger","Vrchný Popravca","Bolivar, tiež zvaný Sekerník, sa na svoju pozíciu vrchného Popravcu vypracoval sám. Od útleho veku on ako aj jeho bratia boli otcom vedený k boju. Borald Grats bol priemerný lovec, ktorý utrpel ťažké zranenia pri love, preto trénoval svojich synov tak aby sa jeho osudu vyhli. Toto usilie sa vyplatilo. Bolivarov triunfálny nástup na Jägera bol keď sa ako jediný vrátil z hrdla príšer s polu s telom svojich dvoch spolulovcov a hlavami hrdelnej trojky. Hlavy daroval akedémií na výskum a dnes už vysia v chodbách akedémie v Jazierchate. Bolivar je ťažko zastihnuteľný lovec lebo sa stále vydáva na nebezpečné miesta no vždy sa vráti aj s novým materialov pre výskum znalcou."
"Carlie-Hof’Goria","Fakulty/Fakulta_3","Krotiteľ","Carlie Hof’Goria – Lejdy","Elf (Drow)","Sorcerer","Juhiera","Virwraek","416","Živá","Grófka, Jäger ","Vrchná Krotiteľka","Šľachtický pôvod a pokrvné spojenie na predchádzajúceho vrchného krotiteľa bolo Grófke určite veľmi pomocné pri jej čase strávenom v Akadémií. Bola veľmi nadaný študent, ktorý len málokedy išiel do terénu. Väčšinu času strávila v kabinetoch a kanceláriach. Jej cesta na vrchol bola vcelku rýchla a po jej nástupe nastalo viacero nečakaných zmien. Sprísnila zápisný poplatok a stará sa o školné. Všetci čo sa na to sťažovali zmenili svoj názor po rozhovore s ňou. Fakulta sa stala prínosnejšou pre akadémiu. Grófka však od vtedy vídaná len ojedinele. Väčšinou ju na stretnutiach niekto zastupuje. "
"Kratol-Uroqal","Fakulty/Fakulta_4","Ochranca","Kratol Uroqal – Sudca","Human","Paladin","Chladohrad","Syrvaad","24","Živý","Jäger","Vrchný Ochranca","Kratol mal zmysel pre spravodlivosť skôr ako vedel používať zbrane. Často sa preto dostal do nepríjemných situácií kde ho silnejší neprávom trestali. Kratola to však neodradilo a spravodlivosť nasledoval aj naďalej. Začal pracovať na svojej fyzickej stránke a stal z neho lovca. Nebol najsilnejší či najefektívnejší ale prácu odviedol hrdo. Jeho zmysel pre spravodlivosť mu však nie vždy dovolil príšeru zabiť, stal sa preto príkladným študentom fakulty Ochrancov. Tam neskôr prebral rolu vrchného ochrancu kde zastáva princípy spravodlivosti. "
"Katrina-Hularo","Fakulty/Fakulta_5","Znalec","Katrina Hularo – Diplomatka","Tabaxi","Wizard","Pieskostan","-","51","Živá","Jäger","Vrchná Znalkyňa","Silný intelekt sa nezastaví pred ničím. Katrin stratila rodičov ako mladé dievča a musela sa o súredencov starať sama. Mala však dosť umu aby našla riešenie. Seba prihlásila na akadémiu a ako sirota dostala dosť peňazí aby súrodencom zabezpečila bývanie. Nemala teda financie pre seba a musela sa viac vynájsť. Robila istý čas prekladateľku a učila sa jazyky. Jej talentu to prospelo lebo po tragickom skonaní Minaer Hlafton bola zvolená ako vrchný znalca. Časť jej súrodencov sa pridala do akadémie tiež ale Katrin nikdy nezneužila svoje postavenie aby im vypomohla."
"Richard-Dkn","Fakulty/Fakulta_1","Absorber","Richard Dkn - Had","Half-Orc","Rogue","Granulia","Bland","35","Živý","Hed","Učiteľ","Na prvý pohľad pôsobí ako príšera z nočných môr – telo polo-Orka poznačené rokmi bezohľadného využívania esencie sa pretvorilo do podoby, ktorú si mnohí mýlia so strygom. Svaly i koža nesú jazvy nadprirodzených premien a jeho oči žiaria cudzím svetlom. No hoci jeho vzhľad vzbudzuje strach, skutočná povaha ho prezrádza inak: je priateľský, otvorený a loajálny. Ovláda luk s pozoruhodnou presnosťou a esenciu s takou ľahkosťou, že sa zdá, akoby mu pretekala žilami. Je paradoxom sám o sebe – desivý navonok, no blízky a spoľahlivý spoločník pre tých, čo sa odvážia priblížiť."
"Melion-Lor’niala","Fakulty/Fakulta_2","Popravca","Melion Lor’niala - Dym","Elf (Drow)","Rogue","Lesohaj","Vacan","189","Živý","Hed","Učiteľ","Hrdý ale nenápadná Melion sa vypracoval na uznávaného lovca a aristokrata."
"Enedrie-Onaior","Fakulty/Fakulta_3","Krotiteľ","Enedrie Onaior - Struna","Tiefling","Bard","Pieskostan","Beau","27","Živá","Hed","Učiteľ","O tejto postave aktuálne nie je tak veľa známe."
"Ludvik-Grats","Fakulty/Fakulta_4","Ochranca","Ludvik Grats - Snehumil","Human","Cleric/Barbarian","Jazierchat","Zekkil","33","Živý","Hed","Učiteľ","Mladší brat Bolyvara a rešpektuhodný lovec vo svojom vlastnom odbore. Ludvik ma omnoho pokojnejšiu povahu než jeho brat a pravdepodobne aj preto si zvolil inú fakultu. Posledné roky trávil Ludvik v Chladohrade kde pracoval na výpravách za Aurora Serpentom. Nové povinnosti ho však zavolali späť do rodného mesta Jazierchatu."
"Niliana-Lor’niala","Fakulty/Fakulta_5","Znalec","Niliana Lor’niala - Svetlica","Elf (Drow)","Wizard","Lesohaj","Elavalur","189","Živá","Hed","Učiteľ","Na rozdiel od svojho mladšieho brata vždy stála v popredí. Ľudia ju obklopovali, rozprávali sa s ňou, hľadali jej pozornosť a ona si ju užívala. Bola šťastná vždy, keď mohla žiariť v strede diania, a práve táto túžba po svetle ju priviedla k najznámejšiemu kúzlu, ktoré vytvorila – zaklínadlu, schopnému oslepiť a očariť celú miestnosť jediným gestom. Pre jej povahu a mocnú mágiu jej prischlo meno Svetlica. Hoci je jej koža tmavá ako uhlie jej prítomnosť žiari tak, že ju nemožno prehliadnuť."
"Ayne-Drundas","NonFakulty/Mesto","Mesto","Ayne Drundas - Guľo","Goliath","Barbarian/Fighter","Ruiny Temnoty","Začiatok","72","Živý","Jäger, Rytier","Riaditeľ ALP Jazierchat","O tejto postave aktuálne nie je tak veľa známe."
"Henrieta Gûl'hosta","Fakulty/Fakulta_5","Znalec","Henrieta Gûl'hosta","Elf (Drow)","Wizard","Juhiera","Zylhana ","189","Živá","---","Lovec študent - Skupina 750~1","O tejto postave aktuálne nie je tak veľa známe."
"Lea-Líška","Fakulty/Fakulta_2","Popravca","Lea Líška","Human","Fighter","Jazierchat","Syrvaad","22","Živá","---","Lovec študent - Skupina 750~1","O tejto postave aktuálne nie je tak veľa známe."
"Leander-Goro","Fakulty/Fakulta_3","Krotiteľ","Leander Goro","Tiefling","Bard","Pieskostan","Zael","24","Živý","---","Lovec študent - Skupina 750~1","O tejto postave aktuálne nie je tak veľa známe."
"Oto","Fakulty/Fakulta_4","Ochranca","Oto","Goliath","Paladin","Ruiny Temnoty","Koniec","37","Živý","---","Lovec študent - Skupina 750~1","O tejto postave aktuálne nie je tak veľa známe."
"Timeo-Hlina","Fakulty/Fakulta_1","Absorber","Timeo Hlina","Human","Rogue","Severana","Zurro","16","Živý","---","Lovec študent - Skupina 750~1","O tejto postave aktuálne nie je tak veľa známe."
"Alienna-Eru'Galad","Fakulty/Fakulta_3","Krotiteľ","Alienna Eru'Galad","Elf (High)","Cleric","Lesohaj","Ralogolor","248","Živá","---","Lovec študent - Skupina 750~2","O tejto postave aktuálne nie je tak veľa známe."
"Mok-Gulok","Fakulty/Fakulta_1","Absorber","Mok Gulok","Half-Orc","Monk","Granulia","Tiny ","20","Živý","---","Lovec študent - Skupina 750~2","O tejto postave aktuálne nie je tak veľa známe."
"Emilia-Tavenova","Fakulty/Fakulta_5","Znalec","Emilia Tavenova","Genasi","Fighter","Skalodom","Ghad ","26","Živá","---","Lovec študent - Skupina 750~2","O tejto postave aktuálne nie je tak veľa známe."
"Trigobor","Fakulty/Fakulta_4","Ochranca","Trigobor","Firbolg","Druid","Lesy Života","---","123","Živý","Iar (Titul pre druida v Lesoch Života)","Lovec študent - Skupina 750~2","O tejto postave aktuálne nie je tak veľa známe."
"Rick-Okomel","Fakulty/Fakulta_2","Popravca","Rick Okomel","Human","Barbarrian","Pieskostan","Zekkil","25","Živý","---","Lovec študent - Skupina 750~2","O tejto postave aktuálne nie je tak veľa známe."
"Kav","Fakulty/Fakulta_3","Krotiteľ","Kav","Kobold","Warlock","Raj Drakov","---","9","Živý","---","Lovec študent - Skupina 750~3","O tejto postave aktuálne nie je tak veľa známe."
"Brakrag-Železokostry","Fakulty/Fakulta_4","Ochranca","Brakrag Železokostry","Dwarf (Brewer)","Cleric","Vyskyna","Trudgru ","267","Živý","---","Lovec študent - Skupina 750~3","O tejto postave aktuálne nie je tak veľa známe."
"Ravorit-Meden","Fakulty/Fakulta_5","Znalec","Ravorit Meden","Gnome","Artificier","Granulia","Zedrad ","70","Živý","---","Lovec študent - Skupina 750~3","O tejto postave aktuálne nie je tak veľa známe."
"Gema-Bystrok","Fakulty/Fakulta_1","Absorber","Gema Bystrok","Halfling (Tongue)","Bard","---","---","43","Živá","---","Lovec študent - Skupina 750~3","O tejto postave aktuálne nie je tak veľa známe."
"Skratrulgondiam","Fakulty/Fakulta_2","Popravca","Skratrulgondiam","Goblin","Blood Hunter","Ogramište","Vlk","19","Živý","---","Lovec študent - Skupina 750~3","O tejto postave aktuálne nie je tak veľa známe."
"Markíz-Lanc-Rueox","Fakulty/Fakulta_3","Krotiteľ","Lanc Rueox","Half-Elf (High)","Paladin","Jazierchat","Kybad","23","Živý","Markíz","Lovec študent - Skupina 750~4","O tejto postave aktuálne nie je tak veľa známe."
"Baron-Valér-Sartén","Fakulty/Fakulta_4","Ochranca","Valér Sartén","Human","Wizard","Sostrov","Geles","29","Živý","Baron","Lovec študent - Skupina 750~4","O tejto postave aktuálne nie je tak veľa známe."
"Princezna-Lejla-Fier'Nuano","Fakulty/Fakulta_5","Znalec","Lejla Fier'Nuano","Aasimar","Sorcerer","Lesohaj","Zylhana","27","Živá","Princezna","Lovec študent - Skupina 750~4","O tejto postave aktuálne nie je tak veľa známe."
"Vojvodkina-Timea-Rolova","Fakulty/Fakulta_2","Popravca","Timea Rolova","Human","Fighter","Severana","Rarex","24","Živá","Vojvodkina","Lovec študent - Skupina 750~4","O tejto postave aktuálne nie je tak veľa známe."
